int main() {	int main() {	int main() {	DUMMY	DUMMY	DUMMY
create integer N	int N ;
}	}	}	DUMMY	DUMMY	DUMMY
set jol to 1	jol = 1 ;
	jol = 1 ;	1
set syl to 1	syl = 1 ;
	syl = 1 ;	1
set umb to 1	umb = 1 ;
	umb = 1 ;	1
}	}	}	DUMMY	DUMMY	DUMMY
if eevee [ x ] is jolteon [ x ] and jol is 0	if ( eevee [ 0 ] == jolteon [ x ] && jol == 0 )
	if ( eevee [ x ] == jolteon [ x ] && jol == 0 )	NA
set leaf to 1	leaf = 1 ;
	leaf = 1 ;	1
set fla to 1	fla = 1 ;
	fla = 1 ;	1
if x is not 2 , set syl to 1	if ( x!= 2 ) syl = 1 ;
	if ( x != 2 ) { syl = 1 ; }	NA
set umb to 1	umb = 1 ;
	umb = 1 ;	1
set gla to 1	sala = 1 ;
	gla = 1 ;	NA
}	}	}	DUMMY	DUMMY	DUMMY
if eevee [ x ] is umbreon [ x ] and umb is 0	if ( eevee [ x ] == umbreon [ y ] && umb == 0 )
	if ( eevee [ x ] == umbreon [ x ] && umb == 0 )	NA
set leaf to 1	leaf = 1 ;
	leaf = 1 ;	1
set jol to 1	jol = 1 ;
	jol = 1 ;	1
set syl to 1	syl = 1 ;
	syl = 1 ;	1
set fla to 1	fla = 1 ;
	fla = 1 ;	1
set gla to 1	Gla = 1 ;
	gla = 1 ;	NA
}	}	}	DUMMY	DUMMY	DUMMY
if eevee [ x ] is sylveon [ x ] and syl is 0	if ( eevee [ 0 ] == sylveon [ x ] && syl == 0 )
	if ( eevee [ x ] == sylveon [ x ] && syl == 0 )	NA
set leaf to 1	leaf = 1 ;
	leaf = 1 ;	1
set fla to 1	fla = 1 ;
	fla = 1 ;	1
if x is not 2 , set jol to 1	if ( x!= 2 ) jol = 1 ;
	if ( x != 2 ) { jol = 1 ; }	NA
set umb to 1	umb = 1 ;
	umb = 1 ;	1
set gla to 1	sala = 1 ;
	gla = 1 ;	NA
}	}	}	DUMMY	DUMMY	DUMMY
if syl + leaf + jol + umb + gla + fla is 5	if ( syl + leaf + jol + umb + gla + fla == 5 )
	if ( syl + leaf + jol + umb + gla + fla == 5 )	1
if syl is 0 , print sylveon print " \ n "	if ( syl == 0 ) { cout << sylveon << " \n " ; }
	if ( syl == 0 ) { cout << sylveon << " \n " ; }	1
if gla is 0 , print glaceon print " \ n "	if ( gla == 0 ) { cout << glaceon << " \n " ; }
	if ( gla == 0 ) { cout << glaceon << " \n " ; }	1
if fla is 0 , print flareon print " \ n "	if ( fla == 0 ) { cout << flareon << " \n " ; }
	if ( fla == 0 ) { cout << flareon << " \n " ; }	1
if jol is 0 , print jolteon print " \ n "	if ( jol == 0 ) { cout << jolteon << " \n " ; }
	if ( jol == 0 ) { cout << jolteon << " \n " ; }	1
if umb is 0 print umbreon print " \ n "	if ( umb == 0 ) { cout << umbreon << " \n " ; }
	if ( umb == 0 ) { cout << umbreon << " \n " ; }	1
if leaf is 0 print leafon print " \ n "	if ( leaf == 0 ) { cout << leafon << " \n " ; }
	if ( leaf == 0 ) { cout << leafeon << " \n " ; }	NA
break loop	break ;
	break ;	1
}	}	}	DUMMY	DUMMY	DUMMY
}	}	}	DUMMY	DUMMY	DUMMY
}	}	}	DUMMY	DUMMY	DUMMY
}	}	}	DUMMY	DUMMY	DUMMY
}	}	}	DUMMY	DUMMY	DUMMY
